estacion,cod_pluvio,fecha,mm
solis,2875A,07/06/2021,0.0
solis,2875A,07/07/2021,0.0
solis,2875A,07/08/2021,0.0
solis,2875A,07/09/2021,0.0
solis,2875A,07/10/2021,0.0
solis,2875A,07/11/2021,4.0
solis,2875A,07/12/2021,10.0
solis,2875A,07/13/2021,2.0
solis,2875A,07/14/2021,4.0
solis,2875A,07/15/2021,0.0
solis,2875A,07/16/2021,0.0
solis,2875A,07/17/2021,3.5
solis,2875A,07/18/2021,2.5
solis,2875A,07/19/2021,0.0
solis,2875A,07/20/2021,0.0
solis,2875A,07/21/2021,0.0
solis,2875A,07/22/2021,0.0
solis,2875A,07/23/2021,0.0
solis,2875A,07/24/2021,15.0
solis,2875A,07/25/2021,10.0
solis,2875A,07/26/2021,0.0
solis,2875A,07/27/2021,2.0
solis,2875A,07/28/2021,8.0
solis,2875A,07/29/2021,0.0
solis,2875A,07/30/2021,0.0
solis,2875A,07/31/2021,0.0
solis,2875A,08/01/2021,0.0
solis,2875A,08/02/2021,0.0
solis,2875A,08/03/2021,TRAZA
solis,2875A,08/04/2021,0.0
solis,2875A,08/05/2021,0.0
solis,2875A,08/06/2021,0.0
solis,2875A,08/07/2021,0.0
solis,2875A,08/08/2021,33.0
solis,2875A,08/09/2021,16.0
solis,2875A,08/10/2021,0.0
solis,2875A,08/11/2021,0.0
solis,2875A,08/12/2021,0.0
solis,2875A,08/13/2021,0.0
solis,2875A,08/14/2021,0.0
solis,2875A,08/15/2021,0.0
solis,2875A,08/16/2021,0.0
solis,2875A,08/17/2021,0.0
solis,2875A,08/18/2021,TRAZA
solis,2875A,08/19/2021,1.0
solis,2875A,08/20/2021,0.0
solis,2875A,08/21/2021,7.0
solis,2875A,08/22/2021,0.0
solis,2875A,08/23/2021,0.0
solis,2875A,08/24/2021,0.0
solis,2875A,08/25/2021,0.0
solis,2875A,08/26/2021,0.0
solis,2875A,08/27/2021,0.0
solis,2875A,08/28/2021,0.0
solis,2875A,08/29/2021,0.0
solis,2875A,08/30/2021,0.0
solis,2875A,08/31/2021,0.0
solis,2875A,09/01/2021,19.5
solis,2875A,09/02/2021,2.0
solis,2875A,09/03/2021,0.0
solis,2875A,09/04/2021,1.5
solis,2875A,09/05/2021,0.7
solis,2875A,09/06/2021,0.0
solis,2875A,09/07/2021,5.0
solis,2875A,09/08/2021,19.0
solis,2875A,09/09/2021,5.0
solis,2875A,09/10/2021,0.7
solis,2875A,09/11/2021,0.0
solis,2875A,09/12/2021,0.0
solis,2875A,09/13/2021,36.0
solis,2875A,09/14/2021,0.0
solis,2875A,09/15/2021,0.0
solis,2875A,09/16/2021,0.0
solis,2875A,09/17/2021,0.0
solis,2875A,09/18/2021,0.0
solis,2875A,09/19/2021,3.0
solis,2875A,09/20/2021,0.0
solis,2875A,09/21/2021,0.0
solis,2875A,09/22/2021,0.0
solis,2875A,09/23/2021,0.3
solis,2875A,09/24/2021,TRAZA
solis,2875A,09/25/2021,0.0
solis,2875A,09/26/2021,0.0
solis,2875A,09/27/2021,0.0
solis,2875A,09/28/2021,0.0
solis,2875A,09/29/2021,0.0
solis,2875A,09/30/2021,13.5
solis,2875A,10/01/2021,0.0
solis,2875A,10/02/2021,0.0
solis,2875A,10/03/2021,0.0
solis,2875A,10/04/2021,0.0
solis,2875A,10/05/2021,0.0
solis,2875A,10/06/2021,0.0
solis,2875A,10/07/2021,0.0
solis,2875A,10/08/2021,0.0
solis,2875A,10/09/2021,0.0
solis,2875A,10/10/2021,5.0
solis,2875A,10/11/2021,15.0
solis,2875A,10/12/2021,0.0
solis,2875A,10/13/2021,2.0
solis,2875A,10/14/2021,0.5
solis,2875A,10/15/2021,0.0
solis,2875A,10/16/2021,0.0
solis,2875A,10/17/2021,0.0
solis,2875A,10/18/2021,TRAZA
solis,2875A,10/19/2021,0.0
solis,2875A,10/20/2021,0.0
solis,2875A,10/21/2021,0.0
solis,2875A,10/22/2021,12.0
solis,2875A,10/23/2021,1.0
solis,2875A,10/24/2021,0.0
solis,2875A,10/25/2021,0.0
solis,2875A,10/26/2021,0.0
solis,2875A,10/27/2021,0.0
solis,2875A,10/28/2021,0.0
solis,2875A,10/29/2021,0.0
solis,2875A,10/30/2021,0.0
solis,2875A,10/31/2021,0.1
solis,2875A,11/01/2021,0.2
solis,2875A,11/02/2021,4.0
solis,2875A,11/03/2021,3.5
solis,2875A,11/04/2021,11.5
solis,2875A,11/05/2021,0.0
solis,2875A,11/06/2021,0.0
solis,2875A,11/07/2021,0.0
solis,2875A,11/08/2021,0.0
solis,2875A,11/09/2021,0.0
solis,2875A,11/10/2021,0.0
solis,2875A,11/11/2021,0.0
solis,2875A,11/12/2021,0.0
solis,2875A,11/13/2021,1.0
solis,2875A,11/14/2021,0.0
solis,2875A,11/15/2021,33.5
solis,2875A,11/16/2021,0.0
solis,2875A,11/17/2021,0.0
solis,2875A,11/18/2021,0.0
solis,2875A,11/19/2021,0.0
solis,2875A,11/20/2021,0.0
solis,2875A,11/21/2021,0.0
solis,2875A,11/22/2021,0.0
solis,2875A,11/23/2021,0.0
solis,2875A,11/24/2021,0.0
solis,2875A,11/25/2021,0.0
solis,2875A,11/26/2021,0.0
solis,2875A,11/27/2021,0.0
solis,2875A,11/28/2021,53.0
solis,2875A,11/29/2021,4.0
solis,2875A,11/30/2021,0.0
solis,2875A,12/01/2021,0.0
solis,2875A,12/02/2021,0.0
solis,2875A,12/03/2021,0.0
solis,2875A,12/04/2021,0.0
solis,2875A,12/05/2021,2.5
solis,2875A,12/06/2021,0.0
solis,2875A,12/07/2021,0.0
solis,2875A,12/08/2021,0.0
solis,2875A,12/09/2021,0.0
solis,2875A,12/10/2021,0.0
solis,2875A,12/11/2021,0.0
solis,2875A,12/12/2021,0.0
solis,2875A,12/13/2021,0.0
solis,2875A,12/14/2021,0.0
solis,2875A,12/15/2021,1.0
solis,2875A,12/16/2021,0.0
solis,2875A,12/17/2021,0.0
solis,2875A,12/18/2021,0.0
solis,2875A,12/19/2021,0.0
solis,2875A,12/20/2021,0.0
solis,2875A,12/21/2021,0.0
solis,2875A,12/22/2021,0.0
solis,2875A,12/23/2021,0.0
solis,2875A,12/24/2021,0.0
solis,2875A,12/25/2021,1.0
solis,2875A,12/26/2021,0.0
solis,2875A,12/27/2021,0.0
solis,2875A,12/28/2021,0.0
solis,2875A,12/29/2021,0.0
solis,2875A,12/30/2021,0.0
solis,2875A,12/31/2021,0.0
solis,2875A,01/01/2022,5.0
solis,2875A,01/02/2022,0.0
solis,2875A,01/03/2022,0.0
solis,2875A,01/04/2022,99.0
solis,2875A,01/05/2022,0.0
solis,2875A,01/06/2022,0.0
solis,2875A,01/07/2022,0.0
solis,2875A,01/08/2022,0.0
solis,2875A,01/09/2022,0.0
solis,2875A,01/10/2022,0.0
solis,2875A,01/11/2022,0.0
solis,2875A,01/12/2022,0.0
solis,2875A,01/13/2022,0.0
solis,2875A,01/14/2022,0.0
solis,2875A,01/15/2022,43.0
solis,2875A,01/16/2022,13.5
solis,2875A,01/17/2022,55.5
solis,2875A,01/18/2022,8.0
solis,2875A,01/19/2022,0.2
solis,2875A,01/20/2022,0.0
solis,2875A,01/21/2022,8.5
solis,2875A,01/22/2022,35.0
solis,2875A,01/23/2022,0.0
solis,2875A,01/24/2022,0.0
solis,2875A,01/25/2022,4.5
solis,2875A,01/26/2022,1.0
solis,2875A,01/27/2022,0.0
solis,2875A,01/28/2022,0.0
solis,2875A,01/29/2022,0.0
solis,2875A,01/30/2022,0.0
solis,2875A,01/31/2022,5.0
solis,2875A,02/01/2022,0.0
solis,2875A,02/02/2022,0.0
solis,2875A,02/03/2022,19.0
solis,2875A,02/04/2022,0.7
solis,2875A,02/05/2022,33.0
solis,2875A,02/06/2022,1.0
solis,2875A,02/07/2022,TRAZA
solis,2875A,02/08/2022,0.0
solis,2875A,02/09/2022,0.0
solis,2875A,02/10/2022,0.0
solis,2875A,02/11/2022,15.0
