sitio,id_dispositivo,tipo_dispositivo,long,lat,fecha_puesta,fecha_retiro,esfuerzo,operativo,hora_puesta,hora_retiro,paisaje,uso_general,instalacion_en,marca,modelo,obs,obs2
LG,LG10_3,camera,,,,,,,,,,,,,,,
LG,LG11_1,camera,,,,,,,,,,,,,,,
LG,LG11_3,camera,,,,,,,,,,,,,,,
LG,LG12_1,camera,,,,,,,,,,,,,,,
LG,LG12_2,camera,,,,,,,,,,,,,,,
LG,LG12_3,camera,,,,,,,,,,,,,,,
LR,LR01_1,camera,,,13/11/2020,19/12/2020,36,TRUE,15:45,13:40:00,,,,Browning,BTC-5HDX,"Fragmento monte (coronilla) pequeño, junto a trillo que entra",
LR,LR01_2,camera,,,13/11/2020,19/12/2020,36,TRUE,16:00,14:02:00,,,,Browning,BTC-5HDX,"Fragmento monte (coronilla) grande, dentro, varios trillos, poco sotobosque",
LR,LR01_3,camera,,,13/11/2020,19/12/2020,36,TRUE,16:25,13:52:00,,,,Stealth,,"Caraguatal, pastizal inundable",
LR,LR02_1,camera,,,13/11/2020,19/12/2020,36,TRUE,17:08,14:37:00,,,,Stealth,,"Eucaliptus en pradera inundable corta pastoreada, ca. 550m encierro carpinchos",
LR,LR02_2,camera,,,13/11/2020,19/12/2020,36,TRUE,,14:30:00,,,,Bushnell,HD,"Caraguatal, orilla Aº, junto a juncal, pradera corta",
LR,LR02_3,camera,,,13/11/2020,19/12/2020,1,TRUE,,14:47:00,,,,Bushnell,HD,"Pradera corta pastoreada, en poste de alambrado de piedra","alguien saca la cámara, se desconfigura y apaga"
LR,LR03_1,camera,,,14/11/2020,19/12/2020,8,TRUE,,15:14:00,,,,Browning,BTC-5HDX,Línea de Eucaliptus entre pradera ganaderas,
LR,LR03_2,camera,,,14/11/2020,19/12/2020,35,TRUE,,15:21:00,,,,Bushnell,CV,Caraguatal junto a bañado en pradera inundable pastoreada corta,
LR,LR03_3,camera,,,14/11/2020,19/12/2020,7,TRUE,,15:30:00,,,,Stealth,,Pradera ganadera corta,
LR,LR04_1,camera,,,14/11/2020,18/12/2020,0,FALSE,,,,,,Stealth,,Pequeño caraguatal junto a Aº y pradera pastoreada,
LR,LR04_2,camera,,,14/11/2020,18/12/2020,34,TRUE,,11:44:00,,,,Bushnell,HD,"Poste alambrado entre praderas pastoreadas, una muy corta, otra altura media",
LR,LR04_3,camera,,,14/11/2020,18/12/2020,15,TRUE,,11:56:00,,,,Bushnell,CV,Pradera corta pastoreada c/Senecio,
LR,LR05_1,camera,,,14/11/2020,18/12/2020,22,TRUE,,,,,,Browning,BTC-5HDX,"Área parquizada, fragm. monte Eucaliptus, junto a pradera ganadera",
LR,LR05_2,camera,,,14/11/2020,18/12/2020,34,TRUE,,13:53:00,,,,Browning,BTC-5HDX,Monte pequeño roble,
LR,LR05_3,camera,,,14/11/2020,18/12/2020,14,TRUE,,14:07:00,,,,Browning,BTC-5HDX,"Monte Eucaliptus, junto a pradera de trebol",
LR,LR06_1,camera,,,14/11/2020,18/12/2020,34,TRUE,,12:51:00,,,,Browning,BTC-5HDX,Línea Eucaliptus e/ praderas pastoreadas,
LR,LR06_2,camera,,,14/11/2020,18/12/2020,34,TRUE,,12:43:00,,,,Bushnell,HD,"Poste alambrado entre praderas pastoreadas, muy cortas (probablemente no activada)",
LR,LR06_3,camera,,,14/11/2020,18/12/2020,0,FALSE,,12:32:00,,,,Bushnell,CV,"Línea de Eucaliptus entre pradera ganaderas, cercano a tajamar",
LR,LR07_1,camera,,,15/11/2020,18/12/2020,19,TRUE,12:26,14:26:00,,,,Browning,BTC-5HDX,"Espinos solitarios rodeado de espina de la cruz, junto a cañada, pradera pastoreada corta",
LR,LR07_2,camera,,,15/11/2020,18/12/2020,33,TRUE,12:43,14:37:00,,,,Stealth,,"Junto a poza en cañada, pradera corta pastoreada",
LR,LR07_3,camera,,,15/11/2020,18/12/2020,1,FALSE,12:57,14:46:00,,,,Bushnell,HD,"Cañada seca, pradera corta pastoreada, cercana a tajamar",
LR,LR08_1,camera,,,14/11/2020,18/12/2020,34,TRUE,,19:10:00,,,,Stealth,,"Poste alambrado, pradera junto a cortina de Eucaliptus, 20m Aº",
LR,LR08_2,camera,,,14/11/2020,18/12/2020,34,TRUE,,18:48:00,,,,Bushnell,HD,"Estaca, contra alambrado, caraguatal, cercana a Aº, junto a camino",
LR,LR08_3,camera,,,14/11/2020,18/12/2020,34,TRUE,,19:00:00,,,,Browning,BTC-5HDX,"árbol aislado en caraguatal, junto a Aº",
LR,LR09_1,camera,,,15/11/2020,18/12/2020,33,TRUE,13:53,18:29:00,,,,Stealth,,"Junto a tronco caído, la lado bañado grande, pradera corta c/carqueja, pastoreada",
LR,LR09_2,camera,,,15/11/2020,18/12/2020,33,TRUE,14:11,18:37:00,,,,Bushnell,HD,Pradera corta pastoreada c/carqueja,
LR,LR09_3,camera,,,15/11/2020,18/12/2020,33,TRUE,14:31,18:23:00,,,,Browning,BTC-5HDX,"Poste alambrado junto a prqueño fragmento monte, pradera pastoreada",
LR,LR10_1,camera,,,15/11/2020,18/12/2020,0,FALSE,15:03,19:20:00,,,,Stealth,,"Juno a tronco, pradera pastoreada, junto a tapera",
LR,LR10_2,camera,,,15/11/2020,18/12/2020,33,TRUE,15:20,19:27:00,,,,Browning,BTC-5HDX,"Pradera pastoreada, estaca junto a alambrado (se baja rango de detección)",
LR,LR10_3,camera,,,15/11/2020,18/12/2020,33,TRUE,15:35,19:35:00,,,,Browning,BTC-5HDX,Pradera pastoreada (se baja rango de detección),
LR,LR11_1,camera,,,11/09/2021,25/10/2021,44,TRUE,15:19,09:17:00,Pradera inundable/Humedal/Pajonal,Ganadero,estaca,Stealth,,Contra cañada/caraguatal. Abundante trébol y otras especies palatables.,
LR,LR11_2,camera,,,11/09/2021,25/10/2021,44,TRUE,16:12,09:05:00,Pradera inundable/Humedal/Pajonal,Ganadero,estaca,Browning,BTC-5HDX,Estaca en caraguatal. Hay alambre eléctrico por lo que no ingresaría el ganado. Mucho pasto adelante.,
LR,LR11_3,camera,,,11/09/2021,25/10/2021,44,TRUE,15:51,09:29:00,Pradera inundable/Humedal/Pajonal,Ganadero,estaca,Browning,BTC-5HDX,A 380m de la otra cámara. En poste de alambrado eléctrico.,
LR,LR12_1,camera,,,11/09/2021,25/10/2021,44,TRUE,17:17,09:59:00,Pradera inundable,Ganadero,estaca,Browning,BTC-5HDX,Cercana a Arroyo de las Conchas. En poste de alambrado eléctrico. Perro.,
LR,LR12_2,camera,,,11/09/2021,25/10/2021,44,TRUE,17:33,10:07:00,Pradera inundable/Humedal/Pajonal,Ganadero,estaca,Browning,BTC-5HDX,"Cercana a Arroyo de las Conchas, se obs resaca de palos cerca. Los pollos se colocan en S. madagascariensis. Parte del campo se ve marrón por aplicación de glifosato.",
LR,LR12_3,camera,,,11/09/2021,25/10/2021,43,TRUE,18:00,10:15:00,Pradera inundable,Ganadero,estaca,Browning,BTC-5HDX,Los pollos se colocan en S. madagascariensis.,
LR,LR13_1,camera,,,12/09/2021,25/10/2021,43,TRUE,10:47,11:31:00,Pradera inundable/Tajamar,Ganadero,estaca,Browning,BTC-5HDX,En poste de alambrado mirando hacia tajamar.,
LR,LR13_2,camera,,,12/09/2021,25/10/2021,43,TRUE,11:15,11:42:00,Pradera con afloramiento rocoso,Ganadero,estaca,Bushnell,,Pradera con afloramiento rocoso pegada a bañado. Se obs Parodia corynodes y S madagascariensis.,
LR,LR13_3,camera,,,12/09/2021,25/10/2021,43,TRUE,,11:52:00,Pradera inundable/Humedal/Pajonal,Ganadero,estaca,Browning,BTC-5HDX,Caraguatal. Resaca de subida del nivel de agua.,
LR,LR14_1,camera,,,12/09/2021,24/10/2021,43,TRUE,14:50,09:35:00,Humedal/pajonal,Ganadero,estaca,Browning,BTC-5HDX,Sausal inundado. Dentro del sausal no llegaría el ganado pero afuera alta carga ganadera.,
LR,LR14_2,camera,,,12/09/2021,24/10/2021,43,TRUE,15:14,09:55:00,Pradera inundable/Humedal/Pajonal,Ganadero,estaca,Bushnell,,En caraguatal. Perro.,
LR,LR14_3,camera,,,12/09/2021,24/10/2021,0,FALSE,15:29,10:04:00,Pradera inundable,Ganadero,estaca,Stealth,,Pollos en caraguatás. Casi en charco.,
LR,LR15_1,camera,,,12/09/2021,24/10/2021,43,TRUE,16:52,10:52:00,Pradera inundable,Ganadero,estaca,,,Cerca a tajamar. Pollos enterrados.,
LR,LR15_2,camera,,,12/09/2021,24/10/2021,42,TRUE,17:05,10:27:00,Pradera inundable,Ganadero,estaca,Browning,BTC-5HDX,Estaca contra barranca. 2 pollos enterrados.,
LR,LR15_3,camera,,,12/09/2021,24/10/2021,41,TRUE,17:25,,Pradera inundable,Ganadero,estaca,Bushnell,,Cerca a tajamar.,
LR,LR16_1,camera,,,13/09/2021,24/10/2021,41,TRUE,15:31,12:10:00,Pradera inundable,Ganadero,estaca,,,Caraguatal en cañada Zanja Honda. Perro.,
LR,LR16_2,camera,,,13/09/2021,24/10/2021,41,TRUE,15:47,12:19:00,Pradera inundable,Ganadero,estaca,Browning,BTC-5HDX,"Cañada Zanja Honda, pegado a espina cruz mirando a caraguatal. Perro con peón.",
LR,LR16_3,camera,,,13/09/2021,24/10/2021,41,TRUE,16:00,12:29:00,Pradera inundable,Ganadero,estaca,Browning,BTC-5HDX,Estaca contra B. trimera y E. horridum.,
LR,LR17_1,camera,,,13/09/2021,24/10/2021,41,TRUE,17:02,13:11:00,Pradera inundable,Ganadero,estaca,Browning,BTC-5HDX,Cañada Zanja Honda. Estaca en caraguatá apuntando a Senecio.,
LR,LR17_2,camera,,,13/09/2021,24/10/2021,41,TRUE,17:17,12:59:00,Cortina de Eucalyptus,Ganadero,tronco,Bushnell,,En tronco de Eucalyptus. Se obs feca en tronco de árbol cercano. Se obs algunas especies de árboles nativos como Coronilla creciendo dentro de la cortina.,
LR,LR17_3,camera,,,13/09/2021,24/10/2021,39,TRUE,17:38,12:53:00,Cortina de Eucalyptus,Ganadero,estaca,Bushnell,,Estaca contra Eucalyptus. Mucho C. dactylon.,
LR,LR18_1,camera,,,14/09/2021,23/10/2021,39,TRUE,10:52,,Pradera psamófila,Ganadero,estaca,,,Sobre parche de psamófilo que da hacia pradera y bañado. Estaca contra Espina de la cruz. Perros.,
LR,LR18_2,camera,,,14/09/2021,23/10/2021,39,TRUE,11:42,,Cortina de Eucalyptus,Ganadero,tronco,Browning,BTC-5HDX,Instalada en cortina que da a cañada/caraguatal.,
LR,LR18_3,camera,,,14/09/2021,23/10/2021,39,TRUE,12:14,,Pradera inundable,Ganadero,estaca,Browning,BTC-5HDX,Instalada en poste de alambrado. A lo lejos está el tajamar y pajonal asociado. Perro.,
LR,LR19_1,camera,,,14/09/2021,23/10/2021,39,TRUE,10:09,16:30:00,Pradera/matorral psamófilo/Cortina de Eucalyptus,Ganadero,estaca,Browning,BTC-5HDX,"Instalada en poste de alambrado. Tajamar en pradera ganadera, entre cortinas de Eucalyptus, cerca de relictos de matorral psamófilo y costa de laguna. Perros.",
LR,LR19_2,camera,,,14/09/2021,23/10/2021,39,TRUE,10:41,16:12:00,Cortina de Eucalyptus,Ganadero,tronco,Browning,BTC-5HDX,Entre praderas ganaderas. Perros.,
LR,LR19_3,camera,,,14/09/2021,23/10/2021,39,TRUE,11:00,16:20:00,Pradera inundable,Ganadero,estaca,Bushnell,,Cerca de la costa de la Laguna y humedales.,
LR,LR20_1,camera,,,14/09/2021,23/10/2021,39,TRUE,12:02,17:16:00,Cortina de Eucalyptus,Ganadero,tronco,Browning,BTC-5HDX,"Entre praderas ganaderas, a 25-30 m del camino.",
LR,LR20_2,camera,,,14/09/2021,23/10/2021,39,TRUE,12:20,17:06:00,Pradera,Ganadero,estaca,Browning,BTC-5HDX,Junto a una cortina de Eucalyptus. Tajamar. Perro y gato.,
LR,LR20_3,camera,,,14/09/2021,23/10/2021,39,TRUE,12:34,17:23:00,Humedal/pajonal,Ganadero,estaca,Browning,BTC-5HDX,Entre cortina de Eucalyptus y bañado con caraguatal. Cerca de entrada. Perro,
PT,PT00_1,camera,-53.658893,-33.961893,,,,,,,,,,,,,
PT,PT00_2,camera,-53.657261,-33.964821,,,,,,,,,,,,,
PT,PT00_3,camera,-53.65291,-33.964745,,,,,,,,,,,,,
PT,PT01_1,camera,-53.638556,-33.977588,,,,,,,,,,,,,
PT,PT01_2,camera,-53.642083,-33.975566,,,,,,,,,,,,,
PT,PT01_3,camera,-53.63761,-33.973485,,,,,,,,,,,,,
PT,PT02_1,camera,-53.633159,-33.95563,,,,,,,,,,,,,
PT,PT02_2,camera,-53.630329,-33.954793,,,,,,,,,,,,,
PT,PT02_3,camera,-53.630999,-33.959189,,,,,,,,,,,,,
SG,SG01_1,camera,,,,,,,,,,,,,,,
SG,SG01_2,camera,,,,,,,,,,,,,,,
SG,SG01_3,camera,,,,,,,,,,,,,,,
SG,SG03_1,camera,,,,,,,,,,,,,,,
SG,SG03_2,camera,,,,,,,,,,,,,,,
SG,SG03_3,camera,,,,,,,,,,,,,,,
SG,SG04_1,camera,,,,,,,,,,,,,,,
SG,SG04_2,camera,,,,,,,,,,,,,,,
SG,SG04_3,camera,,,,,,,,,,,,,,,
SG,SG07_1,camera,,,,,,,,,,,,,,,
SG,SG07_2,camera,,,,,,,,,,,,,,,
SG,SG07_3,camera,,,,,,,,,,,,,,,
SM,SM01_1,camera,,,,,,,,,,,,,,,
